#汉字	频率	累计频率(%)	拼音
给	96293	63.36192713	gei3/ji3
门	96026	63.45230078	men2
四	95963	63.54261515	si4
院	95816	63.63279116	yuan4
改	94755	63.72196864	gai3
身	94597	63.81099741	shen1
空	94422	63.89986148	kong1/kong4
神	93457	63.98781735	shen2
格	93125	64.07546077	ge2
确	93112	64.16309195	que4
运	92991	64.25060926	yun4
联	92735	64.33788563	lian2
队	92261	64.4247159	dui4
造	92110	64.51140407	zao4
持	91734	64.59773836	chi2
即	91400	64.68375832	ji2
许	91396	64.76977451	xu3
证	90931	64.85535307	zheng4
直	90774	64.94078387	zhi2
命	90447	65.02590692	ming4
交	90157	65.11075704	jiao1
非	90137	65.19558834	fei1
识	89878	65.28017589	shi2/zhi4
技	89693	65.36458932	ji4
手	89428	65.44875335	shou3
质	89190	65.53269339	zhi4
且	88605	65.61608287	qie3
领	88591	65.69945917	ling3
象	88369	65.78262654	xiang4
价	88178	65.86561415	jia4/jie
具	88167	65.94859141	ju4
存	87868	66.03128726	cun2
议	87598	66.11372902	yi4
收	87166	66.19576419	shou1
做	87069	66.27770808	zuo4
争	86983	66.35957104	zheng1
感	86833	66.44129282	gan3
企	86580	66.52277649	qi3
元	86358	66.60405123	yuan2
五	86047	66.68503328	wu3
口	85771	66.76575557	kou3
什	84943	66.8456986	shen2/shi2
北	83930	66.92468826	bei3
增	83378	67.00315841	zeng1
级	83302	67.08155703	ji2
需	82863	67.1595425	xu1
商	82620	67.23729927	shang1
真	81875	67.31435489	zhen1
单	81718	67.39126275	chan2/dan1/shan4
完	81556	67.46801815	wan2
思	81465	67.54468791	si1
该	80676	67.62061511	gai1
南	80557	67.69643031	nan2
万	80248	67.7719547	wan4
话	80240	67.84747156	hua4
根	80234	67.92298278	gen1
研	80227	67.9984874	yan2
记	80222	68.07398733	ji4
几	79203	68.14852823	ji1/ji3
传	79121	68.22299196	chuan2/zhuan4
府	78227	68.29661431	fu3
书	77600	68.36964657	shu1
告	77400	68.4424906	gao4
际	77243	68.51518687	ji4
党	77224	68.58786527	dang3
拉	76849	68.66019073	la1
调	76795	68.73246538	diao4/tiao2
切	76286	68.80426098	qie1/qie4
亚	75916	68.87570836	ya4
准	75829	68.94707387	zhun3
头	75780	69.01839326	tou2/tou
放	75559	69.08950466	fang4
每	75391	69.16045794	mei3
才	75325	69.23134912	cai2
布	74924	69.30186289	bu4
回	74883	69.37233808	hui2
服	74729	69.44266834	fu2
究	74395	69.51268425	jiu1
台	74056	69.58238112	tai2
气	72988	69.65107285	qi4
极	72934	69.71971376	ji2
构	72740	69.7881721	gou4
况	72568	69.85646855	kuang4
农	72445	69.92464925	nong2
标	72121	69.99252502	biao1
马	71180	70.05951517	ma3
集	70561	70.12592277	ji2
示	70541	70.19231154	shi4
委	70393	70.25856102	wei1/wei3
步	69774	70.32422794	bu4
华	69674	70.38980074	hua2/hua4
支	69494	70.45520414	zhi1
影	69274	70.52040049	ying3
须	69141	70.58547167	xu1
再	69081	70.65048638	zai4
英	68884	70.71531569	ying1
器	68681	70.77995394	qi4
路	68515	70.84443597	lu4
约	68395	70.90880506	yao1/yue1
难	68330	70.97311298	nan2/nan4
备	68214	71.03731172	bei4
称	67988	71.10129777	chen4/cheng1/cheng4
始	67669	71.16498359	shi3
病	67424	71.22843884	bing4
办	67403	71.29187432	ban4
专	66190	71.3541682	zhuan1
费	65766	71.41606304	fei4
整	65741	71.47793435	zheng3
线	65738	71.53980284	xian4
言	65504	71.6014511	yan2
选	65274	71.6628829	xuan3
较	65252	71.724294	jiao4
近	65101	71.78556298	jin4
今	64956	71.8466955	jin1
复	64892	71.90776779	fu4
律	64623	71.96858691	lu:4/lv4
广	64427	72.02922156	guang3
转	64222	72.08966329	zhuan3/zhuan4
列	64109	72.14999866	lie4
未	63817	72.21005922	wei4
效	63663	72.26997485	xiao4
型	63206	72.32946038	xing2
息	63149	72.38889226	xi1
失	63050	72.44823097	shi1
投	62967	72.50749157	tou2
罗	62961	72.56674652	luo1/luo2
供	62955	72.62599582	gong1/gong4
色	62942	72.68523289	se4/shai3
流	62880	72.74441161	liu2
查	62309	72.80305294	cha2/zha1
消	62270	72.86165756	xiao1
仅	61990	72.91999867	jin3
例	61951	72.97830307	li4
便	61849	73.03651147	bian4/pian2
图	61768	73.09464364	tu2
医	61656	73.15267041	yi1
验	61491	73.21054189	yan4
打	61438	73.26836348	da2/da3
精	61319	73.32607309	jing1
革	61132	73.3836067	ge2
项	60957	73.44097561	xiang4
划	60902	73.49829275	hua2/hua4
除	60775	73.55549038	chu2
易	60638	73.61255906	yi4
某	60593	73.6695854	mou3
断	60385	73.72641598	duan4
引	60378	73.78323997	yin3
山	59939	73.8396508	shan1
念	59869	73.89599576	nian4
包	59762	73.95224001	bao1
击	59745	74.00846826	ji1
视	59638	74.06459581	shi4
局	59586	74.12067442	ju2
飞	59425	74.17660151	fei1
清	59278	74.23239025	qing1
干	59247	74.28814981	gan1/gan4
考	59215	74.34387926	kao3
历	59068	74.39947037	li4
算	58723	74.45473677	suan4
士	58618	74.50990436	shi4
团	58611	74.56506537	tuan2
史	58581	74.62019813	shi3
网	58257	74.67502597	wang3
织	57908	74.72952536	zhi1
却	57751	74.78387698	que4
百	57644	74.8381279	bai3
施	57482	74.89222636	shi1
带	57404	74.94625141	dai4
王	57127	75.00001576	wang2
营	56891	75.05355801	ying2
责	56828	75.10704096	ze2
照	56545	75.16025758	zhao4
致	56210	75.21315891	zhi4
显	56205	75.26605553	xian3
林	56129	75.31888063	lin2
深	56113	75.37169067	shen1
批	55873	75.42427484	pi1
限	55695	75.47669149	xian4
族	55694	75.52910719	zu2
风	55678	75.58150784	feng1
光	55604	75.63383884	guang1
节	55434	75.68600985	jie2/jie1
态	55415	75.73816297	tai4
容	55395	75.79029728	rong2
九	55342	75.8423817	jiu3
令	55310	75.89443601	ling4
案	55177	75.94636515	an4
护	55125	75.99824534	hu4
采	55113	76.05011425	cai3/cai4
望	54972	76.10185045	wang4
防	54935	76.15355183	fang2
功	54819	76.20514404	gong1
育	54753	76.25667413	yu4
推	54727	76.30817976	tui1
参	54603	76.35956868	can1/shen1
太	54474	76.4108362	tai4
维	54150	76.46179879	wei2
师	54052	76.51266914	shi1
装	53919	76.56341433	zhuang1
注	53773	76.61402211	zhu4
首	53611	76.66447742	shou3
张	53592	76.71491486	zhang1
城	53257	76.76503701	cheng2
率	53036	76.81495117	lu:4/shuai4/lv4
值	52957	76.86479098	zhi2
字	52912	76.91458844	zi4
像	52864	76.96434073	xiang4
按	52811	77.01404313	an4
越	52394	77.06335309	yue4
益	52364	77.1126348	yi4
往	52332	77.1618864	wang3/wang4
另	52218	77.21103071	ling4
土	52080	77.26004515	tu3
女	51628	77.30863419	nu:3/nv3
号	51624	77.35721946	hao2/hao4
众	51441	77.40563251	zhong4
老	51196	77.45381498	lao3
境	51044	77.50185439	jing4
远	50650	77.549523	yuan3
续	50648	77.59718973	xu4
纪	49886	77.6441393	ji4
严	49828	77.6910343	yan2
六	49552	77.73766954	liu4
状	49547	77.78430007	zhuang4
创	49444	77.83083366	chuang1/chuang4
料	49369	77.87729668	liao4
属	49364	77.92375498	shu3/zhu3
源	49301	77.97015399	yuan2
势	49251	78.01650595	shi4
官	49239	78.06284661	guan1
依	49199	78.10914963	yi1
够	49169	78.15542441	gou4
章	49125	78.20165779	zhang1
觉	49045	78.24781587	jiao4/jue2
请	49026	78.29395607	qing3
职	49022	78.3400925	zhi2
离	48946	78.38615741	li2
让	48876	78.43215644	rang4
响	48590	78.47788631	xiang3
白	48367	78.5234063	bai2
股	47867	78.56845572	gu3
段	47771	78.61341479	duan4
八	47679	78.65828728	ba1
希	47467	78.70296025	xi1
候	47448	78.74761533	hou4
曾	47308	78.79213866	ceng2/zeng1
预	47182	78.8365434	yu4
助	46580	78.88038158	zhu4
兵	46495	78.92413976	bing1
米	46390	78.96779913	mi3
述	46189	79.01126932	shu4
适	46062	79.05461999	shi4
片	46031	79.09794148	pian1/pian4
普	45872	79.14111334	pu3
她	45666	79.18409132	ta1
足	45651	79.22705518	zu2
素	45539	79.26991363	su4
死	45519	79.31275326	si3
快	45199	79.35529173	kuai4
察	45176	79.39780855	cha2
周	44978	79.44013903	zhou1
承	44710	79.48221728	cheng2
速	44650	79.52423906	su4
派	44516	79.56613473	pai4
志	44487	79.60800311	zhi4
止	44435	79.64982255	zhi3
石	44409	79.69161752	dan4/shi2
车	44327	79.73333532	che1/ju1
省	44245	79.77497594	sheng3/xing3
财	43969	79.81635681	cai2
古	43952	79.85772168	gu3
否	43871	79.89901031	fou3/pi3
苏	43806	79.94023778	su1
尽	43627	79.98129678	jin3/jin4
群	43590	80.02232095	qun2
洲	43563	80.06331972	zhou1
环	43433	80.10419614	huan2
随	43242	80.1448928	sui2
税	43224	80.18557252	shui4
获	43192	80.22622213	huo4
连	43169	80.26685009	lian2
谈	43107	80.3074197	tan2
京	43044	80.34793001	jing1
低	42969	80.38836974	di1
边	42946	80.42878783	bian1
走	42916	80.46917768	zou3
球	42904	80.50955624	qiu2
儿	42715	80.54975692	er2/er
药	42558	80.58980984	yao4
试	42470	80.62977995	shi4
印	42393	80.66967758	yin4
语	42301	80.70948864	yu3/yu4
巴	42228	80.74923098	ba1
举	42083	80.78883687	ju3
策	41868	80.82824041	ce4
审	41671	80.86745854	shen3
检	41623	80.9066315	jian3
协	41586	80.94576964	xie2
住	41531	80.98485602	zhu4
火	41427	81.02384452	huo3
满	41366	81.0627756	man3
七	41267	81.10161352	qi1
斗	40945	81.14014839	dou3/dou4
声	40911	81.17865126	sheng1
夫	40845	81.21709201	fu1
食	40831	81.25551959	shi2/si4
劳	40730	81.29385212	lao2
积	40674	81.33213194	ji1
弹	40530	81.37027624	dan4/tan2
写	40191	81.40810149	xie3
密	39835	81.4455917	mi4
阿	39776	81.48302638	a1/a4/a/e1
底	39771	81.52045635	de/di3
围	39670	81.55779127	wei2
爱	39622	81.59508101	ai4
独	39534	81.63228794	du2
置	39406	81.6693744	zhi4
星	39379	81.70643545	xing1
害	39289	81.74341179	hai4
判	39228	81.78033073	pan4
似	39041	81.81707367	si4
继	38982	81.85376109	ji4
配	38976	81.89044286	pei4
武	38976	81.92712463	wu3
乎	38860	81.96369723	hu1
模	38855	82.00026512	mo2
陆	38703	82.03668996	liu4/lu4
突	38614	82.07303104	tu1
假	38526	82.10928929	jia3/jia4
层	38525	82.14554661	ceng2
细	38521	82.18180016	xi4
负	38424	82.21796243	fu4
阶	38171	82.25388658	jie1
险	38049	82.28969592	xian3
卫	37905	82.32536973	wei4
威	37710	82.36086002	wei1
终	37620	82.3962656	zhong1
核	37302	82.43137191	he2
虽	37267	82.46644528	sui1
仍	37234	82.50148759	reng2
早	37212	82.53650919	zao3
范	37198	82.57151762	fan4
帝	37142	82.60647334	di4
纳	37121	82.6414093	na4
控	37114	82.67633867	kong4
航	37111	82.71126522	hang2
尼	37077	82.74615977	ni2
征	37076	82.78105338	zheng1
习	37017	82.81589146	xi2
执	36808	82.85053285	zhi2
亲	36752	82.88512153	qin1/qing4
降	36675	82.91963774	jiang4/xiang2
绝	36636	82.95411725	jue2
讲	36621	82.98858264	jiang3
甚	36600	83.02302827	shen4
攻	36324	83.05721414	gong1
款	36268	83.09134731	kuan3
落	36182	83.12539954	la4/luo4
超	36141	83.15941319	chao1
青	36091	83.19337978	qing1
初	36013	83.22727296	chu1
热	35861	83.26102308	re4
充	35820	83.29473462	chong1
破	35818	83.32844428	po4
优	35734	83.36207488	you1
般	35500	83.39548526	ban1
校	35273	83.428682	jiao4/xiao4
诉	35254	83.46186086	su4
排	35187	83.49497666	pai2/pai3
兰	35148	83.52805575	lan2
域	34986	83.56098238	yu4
央	34973	83.59389678	yang1
版	34860	83.62670483	ban3
占	34853	83.65950629	zhan1/zhan4
序	34649	83.69211576	xu4
花	34599	83.72467817	hua1
波	34596	83.75723776	bo1
富	34577	83.78977946	fu4
括	34571	83.82231552	kuo4
货	34442	83.85473018	huo4
射	34352	83.88706013	she4
河	34223	83.91926867	he2
千	34148	83.95140663	qian1
略	34075	83.98347589	lue4
听	33910	84.01538985	ting1/ting4
脑	33712	84.04711748	nao3
善	33629	84.07876699	shan4
敌	33589	84.11037885	di2
留	33574	84.14197659	liu2
减	33550	84.17355175	jian3
愿	33483	84.20506386	yuan4
欧	33394	84.2364922	ou1
伊	33111	84.2676542	yi1
兴	33021	84.29873149	xing1/xing4
担	32863	84.32966009	dan1/dan4
修	32851	84.36057739	xiu1
宣	32836	84.39148058	xuan1
血	32777	84.42232824	xie3/xue4
互	32492	84.45290767	hu4
呢	32444	84.48344194	ne/ni2
罪	32415	84.5139489	zui4
评	32398	84.54443987	ping2
销	32362	84.57489696	xiao1
湾	32289	84.60528534	wan1
眼	32090	84.63548644	yan3
江	32023	84.66562448	jiang1
故	31947	84.695691	gu4
测	31800	84.72561917	ce4
坚	31776	84.75552475	jian1
半	31773	84.7854275	ban4
舰	31590	84.81515803	jian4
疗	31567	84.84486692	liao2
乐	31324	84.8743471	le4/yue4
户	31310	84.90381411	hu4
客	31127	84.9331089	ke4
压	31116	84.96239333	ya1/ya4
毛	30972	84.99154223	mao2
监	30897	85.02062055	jian1/jian4
演	30841	85.04964617	yan3
卡	30791	85.07862473	ka3/qia3
养	30673	85.10749224	yang3
错	30666	85.13635316	cuo4
免	30664	85.16521219	mian3
居	30651	85.194059	ju1
概	30628	85.22288415	gai4
简	30544	85.25163025	jian3
轻	30502	85.28033682	qing1
均	30499	85.30904057	1-Jun
州	30474	85.33772079	zhou1
激	30226	85.36616761	ji1
李	30210	85.39459937	li3
差	29986	85.42282031	cha1/cha4/chai1/ci1
抗	29979	85.45103467	kang4
予	29917	85.47919068	yu2/yu3
著	29917	85.50734668	zhu4/zhe
犯	29811	85.53540293	fan4
双	29733	85.56338577	shuang1
释	29368	85.59102509	shi4
异	29315	85.61861453	yi4
损	29261	85.64615315	sun3
黑	28948	85.67339719	hei1
银	28905	85.70060077	yin2
输	28821	85.72772529	shu1
奇	28763	85.75479522	ji1/qi2
答	28735	85.78183881	da1/da2
额	28705	85.80885415	e2
升	28682	85.83584786	sheng1
港	28432	85.86260627	gang3
找	28309	85.88924893	zhao3
船	28250	85.91583606	chuan2
福	28222	85.94239684	fu2
付	28138	85.96887856	fu4
宗	28132	85.99535464	zong1
份	28003	86.02170931	fen4
村	27926	86.04799151	cun1
副	27778	86.07413443	fu4
危	27685	86.10018981	wei1
础	27535	86.12610403	chu3
既	27522	86.15200601	ji4
怎	27522	86.177908	zen3
游	27469	86.2037601	you2
误	27352	86.22950209	wu4
待	27322	86.25521584	dai1/dai4
紧	27214	86.28082795	jin3
佛	27168	86.30639677	fo2/fu2
久	27125	86.33192513	jiu3
音	27120	86.35744877	yin1
登	27073	86.38292818	deng1
讨	26988	86.4083276	tao3
票	26836	86.43358396	piao4
若	26799	86.4588055	ruo4
余	26771	86.48400069	yu2
红	26677	86.50910741	hong2
编	26663	86.53420096	bian1
疑	26618	86.55925215	yi2
站	26607	86.58429299	zhan4
陈	26537	86.60926795	chen2
母	26472	86.63418174	mu3
岛	26364	86.65899389	dao3
胜	26339	86.6837825	sheng1/sheng4
移	26302	86.7085363	yi2
择	26267	86.73325715	ze2/zhai2
买	26202	86.75791684	mai3
微	26103	86.78248334	wei1
托	26044	86.80699433	tuo1
朝	25999	86.83146296	chao2/zhao1
困	25962	86.85589676	kun3/kun4
房	25960	86.88032869	fang2
角	25852	86.90465897	jiao3/jue2
换	25752	86.92889514	huan4
艺	25715	86.95309649	yi4
黄	25714	86.9772969	huang2
督	25692	87.0014766	du1
退	25690	87.02565442	tui4
刻	25526	87.04967789	ke4
席	25518	87.07369383	xi2
康	25502	87.09769472	kang1
友	25472	87.12166737	you3
送	25466	87.14563437	song4
阳	25461	87.16959667	yang2
亿	25324	87.19343003	yi4
缺	25137	87.2170874	que1
逐	25065	87.24067701	zhu2
录	25056	87.26425815	lu4
挥	25029	87.28781388	hui1
智	24991	87.31133384	zhi4
固	24843	87.33471452	gu4
含	24820	87.35807354	han2
健	24745	87.38136199	jian4
杂	24561	87.40447726	za2
厂	24540	87.42757277	chang3
俄	24519	87.45064852	e2
伤	24477	87.47368474	shang1
贸	24366	87.49661649	mao4
虑	24298	87.51948425	lu:4/lv4
索	24155	87.54221742	suo3
购	24154	87.56494965	gou4
苦	24128	87.58765742	ku3
读	24096	87.61033506	dou4/du2
良	24085	87.63300236	liang2
右	23964	87.65555577	you4
痛	23867	87.6780179	tong4
临	23780	87.70039814	lin2
靠	23764	87.72276333	kao4
扩	23740	87.74510593	kuo4
材	23676	87.7673883	cai2
补	23540	87.78954267	bu3
架	23353	87.81152106	jia4
雷	23300	87.83344956	lei2
附	23289	87.8553677	fu4
室	23207	87.87720868	shi4
洋	23109	87.89895742	yang2
恶	23089	87.92068734	e3/e4/wu4
灵	23068	87.9423975	ling2
坏	23020	87.96406248	huai4
烈	22935	87.98564747	lie4
警	22931	88.00722869	jing3
售	22896	88.02877697	shou4
县	22725	88.05016432	xian4
析	22597	88.0714312	xi1
介	22561	88.0926642	jie4
停	22541	88.11387837	ting2
叫	22506	88.13505961	jiao4
败	22466	88.1562032	bai4
温	22460	88.17734115	wen1
冲	22431	88.1984518	chong1/chong4
钱	22336	88.21947305	qian2
吃	22197	88.24036347	chi1/ji2
香	22178	88.26123602	xiang1
景	22126	88.28205962	jing3
竞	22124	88.30288134	jing4
顿	22120	88.3236993	dun4
杀	21969	88.34437515	sha1
追	21907	88.36499265	zhui1
短	21760	88.38547179	duan3
庭	21720	88.4059133	ting2
鱼	21679	88.42631621	yu2
巨	21621	88.44666455	ju4
遗	21617	88.46700911	yi2
皮	21576	88.48731509	pi2
访	21450	88.50750249	fang3
泽	21439	88.52767953	ze2
左	21387	88.54780764	zuo3
岁	21355	88.56790563	sui4
草	21350	88.58799891	cao3
孩	21290	88.60803572	hai2
永	21266	88.62804995	yong3
吸	21242	88.64804159	xi1
帮	21123	88.66792123	bang1
授	21056	88.68773782	shou4
油	21033	88.70753276	you2
欢	20884	88.72718748	huan1
申	20861	88.74682054	shen1
训	20740	88.76633973	xun4
木	20739	88.78585798	mu4
奥	20732	88.80536964	ao4
载	20729	88.82487848	zai3/zai4
守	20622	88.84428661	shou3
树	20580	88.86365522	shu4
络	20425	88.88287795	lao4/luo4
稳	20420	88.90209597	wen3
归	20409	88.92130365	gui1
哲	20393	88.94049626	zhe2
云	20385	88.95968135	yun2
伯	20305	88.97879114	bo2
植	20267	88.99786517	zhi2
毫	20223	89.01689779	hao2
汉	20221	89.03592853	han4
闻	20216	89.05495456	wen2
软	20207	89.07397213	ruan3
词	20171	89.09295581	ci2
谓	20131	89.11190184	wei4
拿	20059	89.13078012	na2
典	20054	89.14965369	dian3
赛	20042	89.16851596	sai4
炸	20035	89.18737165	zha2/zha4
顾	19955	89.20615205	gu4
促	19947	89.22492491	cu4
怀	19892	89.24364602	huai2
亡	19680	89.2621676	wang2
急	19630	89.28064213	ji2
努	19598	89.29908654	nu3
灭	19543	89.31747918	mie4
端	19457	89.33579089	duan1
父	19419	89.35406684	fu4
探	19381	89.37230702	tan4
坦	19351	89.39051897	tan3
私	19336	89.4087168	si1
