a:ā,á,ǎ,à
lü:lǖ,lǘ,lǚ,lǜ
lai:lāi,lái,lǎi,lài
lei:lēi,léi,lěi,lèi
lao:lāo,láo,lǎo,lào
lou:lōu,lóu,lǒu,lòu
liu:liū,liú,liǔ,liù
lie:liē,lié,liě,liè
lüe:lüē,lüé,lüě,lüè
lan:lān,lán,lǎn,làn
lin:līn,lín,lǐn,lìn
lun:lūn,lún,lǔn,lùn
lang:lāng,láng,lǎng,làng
leng:lēng,léng,lěng,lèng
ling:līng,líng,lǐng,lìng
long:lōng,lóng,lǒng,lòng
lia:liā,liá,liǎ,lià
lian:liān,lián,liǎn,liàn
liang:liāng,liáng,liǎng,liàng
liao:liāo,liáo,liǎo,liào
luan:luān,luán,luǎn,luàn
luo:luō,luó,luǒ,luò
ga:gā,gá,gǎ,gà
ge:gē,gé,gě,gè
gu:gū,gú,gǔ,gù
gai:gāi,gái,gǎi,gài
gei:gēi,géi,gěi,gèi
gui:guī,guí,guǐ,guì
gao:gāo,gáo,gǎo,gào
gou:gōu,góu,gǒu,gòu
gan:gān,gán,gǎn,gàn
gen:gēn,gén,gěn,gèn
gun:gūn,gún,gǔn,gùn
gang:gāng,gáng,gǎng,gàng
geng:gēng,géng,gěng,gèng
gong:gōng,góng,gǒng,gòng
gua:guā,guá,guǎ,guà
guai:guāi,guái,guǎi,guài
guan:guān,guán,guǎn,guàn
guang:guāng,guáng,guǎng,guàng
guo:guō,guó,guǒ,guò
ka:kā,ká,kǎ,kà
ke:kē,ké,kě,kè
ku:kū,kú,kǔ,kù
kai:kāi,kái,kǎi,kài
kei:kēi,kéi,kěi,kèi
kui:kuī,kuí,kuǐ,kuì
kao:kāo,káo,kǎo,kào
kou:kōu,kóu,kǒu,kòu
kan:kān,kán,kǎn,kàn
ken:kēn,kén,kěn,kèn
kun:kūn,kún,kǔn,kùn
kang:kāng,káng,kǎng,kàng
keng:kēng,kéng,kěng,kèng
kong:kōng,kóng,kǒng,kòng
kua:kuā,kuá,kuǎ,kuà
kuai:kuāi,kuái,kuǎi,kuài
kuan:kuān,kuán,kuǎn,kuàn
kuang:kuāng,kuáng,kuǎng,kuàng
kuo:kuō,kuó,kuǒ,kuò
ha:hā,há,hǎ,hà
he:hē,hé,hě,hè
hu:hū,hú,hǔ,hù
hai:hāi,hái,hǎi,hài
hei:hēi,héi,hěi,hèi
hui:huī,huí,huǐ,huì
hao:hāo,háo,hǎo,hào
hou:hōu,hóu,hǒu,hòu
han:hān,hán,hǎn,hàn
hen:hēn,hén,hěn,hèn
hun:hūn,hún,hǔn,hùn
hang:hāng,háng,hǎng,hàng
heng:hēng,héng,hěng,hèng
hong:hōng,hóng,hǒng,hòng
hua:huā,huá,huǎ,huà
huai:huāi,huái,huǎi,huài
huan:huān,huán,huǎn,huàn
huang:huāng,huáng,huǎng,huàng
huo:huō,huó,huǒ,huò
ji:jī,jí,jǐ,jì
ju:jū,jú,jǔ,jù
jiu:jiū,jiú,jiǔ,jiù
jie:jiē,jié,jiě,jiè
jin:jīn,jín,jǐn,jìn
jun:jūn,jún,jǔn,jùn
jing:jīng,jíng,jǐng,jìng
jia:jiā,jiá,jiǎ,jià
jian:jiān,jián,jiǎn,jiàn
jiang:jiāng,jiáng,jiǎng,jiàng
jiao:jiāo,jiáo,jiǎo,jiào
jiong:jiōng,jióng,jiǒng,jiòng
juan:juān,juán,juǎn,juàn
qi:qī,qí,qǐ,qì
qu:qū,qú,qǔ,qù
qiu:qiū,qiú,qiǔ,qiù
qie:qiē,qié,qiě,qiè
qin:qīn,qín,qǐn,qìn
qun:qūn,qún,qǔn,qùn
qing:qīng,qíng,qǐng,qìng
qia:qiā,qiá,qiǎ,qià
qian:qiān,qián,qiǎn,qiàn
qiang:qiāng,qiáng,qiǎng,qiàng
qiao:qiāo,qiáo,qiǎo,qiào
qiong:qiōng,qióng,qiǒng,qiòng
quan:quān,quán,quǎn,quàn
xi:xī,xí,xǐ,xì
xu:xū,xú,xǔ,xù
xiu:xiū,xiú,xiǔ,xiù
xie:xiē,xié,xiě,xiè
xin:xīn,xín,xǐn,xìn
xun:xūn,xún,xǔn,xùn
xing:xīng,xíng,xǐng,xìng
xia:xiā,xiá,xiǎ,xià
xian:xiān,xián,xiǎn,xiàn
xiang:xiāng,xiáng,xiǎng,xiàng
xiao:xiāo,xiáo,xiǎo,xiào
xiong:xiōng,xióng,xiǒng,xiòng
xuan:xuān,xuán,xuǎn,xuàn
zha:zhā,zhá,zhǎ,zhà
zhe:zhē,zhé,zhě,zhè
zhi:zhī,zhí,zhǐ,zhì
zhu:zhū,zhú,zhǔ,zhù
zhai:zhāi,zhái,zhǎi,zhài
zhei:zhēi,zhéi,zhěi,zhèi
zhui:zhuī,zhuí,zhuǐ,zhuì
zhao:zhāo,zháo,zhǎo,zhào
zhou:zhōu,zhóu,zhǒu,zhòu
zhan:zhān,zhán,zhǎn,zhàn
zhen:zhēn,zhén,zhěn,zhèn
zhun:zhūn,zhún,zhǔn,zhùn
zhang:zhāng,zháng,zhǎng,zhàng
zheng:zhēng,zhéng,zhěng,zhèng
zhong:zhōng,zhóng,zhǒng,zhòng
zhua:zhuā,zhuá,zhuǎ,zhuà
zhuai:zhuāi,zhuái,zhuǎi,zhuài
zhuan:zhuān,zhuán,zhuǎn,zhuàn
zhuang:zhuāng,zhuáng,zhuǎng,zhuàng
zhuo:zhuō,zhuó,zhuǒ,zhuò
cha:chā,chá,chǎ,chà
che:chē,ché,chě,chè
chi:chī,chí,chǐ,chì
chu:chū,chú,chǔ,chù
chai:chāi,chái,chǎi,chài
chui:chuī,chuí,chuǐ,chuì
chao:chāo,cháo,chǎo,chào
chou:chōu,chóu,chǒu,chòu
chan:chān,chán,chǎn,chàn
chen:chēn,chén,chěn,chèn
chun:chūn,chún,chǔn,chùn
chang:chāng,cháng,chǎng,chàng
cheng:chēng,chéng,chěng,chèng
chong:chōng,chóng,chǒng,chòng
chua:chuā,chuá,chuǎ,chuà
chuai:chuāi,chuái,chuǎi,chuài
chuan:chuān,chuán,chuǎn,chuàn
chuang:chuāng,chuáng,chuǎng,chuàng
chuo:chuō,chuó,chuǒ,chuò
sha:shā,shá,shǎ,shà
she:shē,shé,shě,shè
shi:shī,shí,shǐ,shì
shu:shū,shú,shǔ,shù
shai:shāi,shái,shǎi,shài
shei:shēi,shéi,shěi,shèi
shui:shuī,shuí,shuǐ,shuì
shao:shāo,sháo,shǎo,shào
shou:shōu,shóu,shǒu,shòu
shan:shān,shán,shǎn,shàn
shen:shēn,shén,shěn,shèn
shun:shūn,shún,shǔn,shùn
shang:shāng,sháng,shǎng,shàng
sheng:shēng,shéng,shěng,shèng
shua:shuā,shuá,shuǎ,shuà
shuai:shuāi,shuái,shuǎi,shuài
shuan:shuān,shuán,shuǎn,shuàn
shuang:shuāng,shuáng,shuǎng,shuàng
shuo:shuō,shuó,shuǒ,shuò
re:rē,ré,rě,rè
ri:rī,rí,rǐ,rì
ru:rū,rú,rǔ,rù
rui:ruī,ruí,ruǐ,ruì
rao:rāo,ráo,rǎo,rào
rou:rōu,róu,rǒu,ròu
ran:rān,rán,rǎn,ràn
ren:rēn,rén,rěn,rèn
run:rūn,rún,rǔn,rùn
rang:rāng,ráng,rǎng,ràng
reng:rēng,réng,rěng,rèng
rong:rōng,róng,rǒng,ròng
rua:ruā,ruá,ruǎ,ruà
ruan:ruān,ruán,ruǎn,ruàn
ruo:ruō,ruó,ruǒ,ruò
za:zā,zá,zǎ,zà
ze:zē,zé,zě,zè
zi:zī,zí,zǐ,zì
zu:zū,zú,zǔ,zù
zai:zāi,zái,zǎi,zài
zei:zēi,zéi,zěi,zèi
zui:zuī,zuí,zuǐ,zuì
zao:zāo,záo,zǎo,zào
zou:zōu,zóu,zǒu,zòu
zan:zān,zán,zǎn,zàn
zen:zēn,zén,zěn,zèn
zun:zūn,zún,zǔn,zùn
zang:zāng,záng,zǎng,zàng
zeng:zēng,zéng,zěng,zèng
zong:zōng,zóng,zǒng,zòng
zuan:zuān,zuán,zuǎn,zuàn
zuo:zuō,zuó,zuǒ,zuò
ca:cā,cá,cǎ,cà
ce:cē,cé,cě,cè
ci:cī,cí,cǐ,cì
cu:cū,cú,cǔ,cù
cai:cāi,cái,cǎi,cài
cui:cuī,cuí,cuǐ,cuì
cao:cāo,cáo,cǎo,cào
cou:cōu,cóu,cǒu,còu
can:cān,cán,cǎn,càn
cen:cēn,cén,cěn,cèn
cun:cūn,cún,cǔn,cùn
cang:cāng,cáng,cǎng,càng
ceng:cēng,céng,cěng,cèng
cong:cōng,cóng,cǒng,còng
cuan:cuān,cuán,cuǎn,cuàn
cuo:cuō,cuó,cuǒ,cuò
sa:sā,sá,sǎ,sà
se:sē,sé,sě,sè
si:sī,sí,sǐ,sì
su:sū,sú,sǔ,sù
sai:sāi,sái,sǎi,sài
sui:suī,suí,suǐ,suì
sao:sāo,sáo,sǎo,sào
sou:sōu,sóu,sǒu,sòu
san:sān,sán,sǎn,sàn
sen:sēn,sén,sěn,sèn
sun:sūn,sún,sǔn,sùn
sang:sāng,sáng,sǎng,sàng
seng:sēng,séng,sěng,sèng
song:sōng,sóng,sǒng,sòng
suan:suān,suán,suǎn,suàn
suo:suō,suó,suǒ,suò
ya:yā,yá,yǎ,yà
yo:yō,yó,yǒ,yò
ye:yē,yé,yě,yè
yi:yī,yí,yǐ,yì
yu:yū,yú,yǔ,yù
yao:yāo,yáo,yǎo,yào
you:yōu,yóu,yǒu,yòu
yan:yān,yán,yǎn,yàn
yin:yīn,yín,yǐn,yìn
yun:yūn,yún,yǔn,yùn
yang:yāng,yáng,yǎng,yàng
ying:yīng,yíng,yǐng,yìng
yuan:yuān,yuán,yuǎn,yuàn
wa:wā,wá,wǎ,wà
wo:wō,wó,wǒ,wò
wu:wū,wú,wǔ,wù
wai:wāi,wái,wǎi,wài
wei:wēi,wéi,wěi,wèi
wan:wān,wán,wǎn,wàn
wen:wēn,wén,wěn,wèn
wang:wāng,wáng,wǎng,wàng
weng:wēng,wéng,wěng,wèng
m:m̄,ḿ, ,m̀,
n: ,ń,ň,ǹ
